stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
726115,54740,2019,01,24,34.4,24,9999.9,0,1004.5,11,982.0,24,3.0,24,1.2,24,9.9,17.1,42.1,*,30.0,*,0.5,G,999.9,1,1,1,0,0,0
994430,99999,2019,03,15,76.6,10,9999.9,0,1019.9,10,9999.9,0,999.9,0,14.6,10,20.0,999.9,76.8,*,76.5,*,0.0,I,999.9,0,0,0,0,0,0
997996,99999,2019,01,23,35.9,17,9999.9,0,1009.8,14,9999.9,0,999.9,0,7.5,14,13.0,999.9,42.6,*,27.5,*,0.0,I,999.9,0,0,0,0,0,0
917540,99999,2019,07,21,82.5,11,9999.9,0,1009.1,11,1005.0,11,999.9,0,3.8,11,5.8,18.1,88.3,,77.5,,0.0,I,999.9,0,0,0,0,0,0
917540,99999,2019,08,01,82.4,12,9999.9,0,1011.0,12,1006.2,9,999.9,0,4.4,12,6.4,19.6,86.7,,79.2,,0.0,I,999.9,0,0,0,0,0,0
942930,99999,2019,04,08,81.6,10,9999.9,0,1013.8,10,1012.7,10,999.9,0,16.7,10,20.0,999.9,82.2,*,81.0,*,0.0,I,999.9,0,0,0,0,0,0
997787,99999,2019,01,23,34.0,24,9999.9,0,1007.6,14,9999.9,0,999.9,0,6.9,14,11.1,999.9,39.0,*,26.8,*,0.0,I,999.9,0,0,0,0,0,0
997787,99999,2019,03,21,38.0,20,9999.9,0,1014.0,15,9999.9,0,999.9,0,3.8,15,7.2,999.9,44.6,*,34.7,*,0.0,I,999.9,0,0,0,0,0,0
997787,99999,2019,07,16,76.7,24,9999.9,0,1014.4,15,9999.9,0,999.9,0,5.0,15,11.1,999.9,85.1,*,70.5,*,0.0,I,999.9,0,0,0,0,0,0
997358,99999,2019,04,08,75.8,9,9999.9,0,1016.0,9,9999.9,0,999.9,0,5.0,9,8.9,999.9,78.4,*,69.8,*,0.0,I,999.9,0,0,0,0,0,0
998166,99999,2019,01,31,0.8,24,9999.9,0,1025.7,15,9999.9,0,999.9,0,17.6,15,22.9,999.9,7.0,*,-3.3,*,0.0,I,999.9,0,0,0,0,0,0
997315,99999,2019,01,21,25.6,14,9999.9,0,1017.0,14,9999.9,0,999.9,0,20.8,14,28.9,999.9,33.3,*,20.7,*,0.0,I,999.9,0,0,0,0,0,0
998238,99999,2019,06,17,85.6,12,9999.9,0,1014.8,12,9999.9,0,999.9,0,9.3,12,11.1,999.9,88.0,*,82.9,*,0.0,I,999.9,0,0,0,0,0,0
892620,99999,2019,02,06,18.6,14,9999.9,0,986.6,14,982.2,14,999.9,0,6.6,14,8.0,999.9,21.6,*,16.9,*,0.0,I,999.9,0,0,0,0,0,0
892620,99999,2019,05,30,3.6,14,9999.9,0,1013.4,14,1008.7,14,999.9,0,11.9,14,15.9,999.9,5.9,*,1.8,*,0.0,I,999.9,0,0,0,0,0,0
619760,99999,2019,08,24,76.5,11,9999.9,0,1020.0,11,1018.5,11,999.9,0,12.3,11,15.0,22.1,81.7,,73.4,,0.0,I,999.9,0,0,0,0,0,0
998012,99999,2019,04,10,42.3,24,9999.9,0,1016.0,14,9999.9,0,999.9,0,6.9,14,14.0,999.9,54.3,*,36.0,*,0.0,I,999.9,0,0,0,0,0,0
917370,99999,2019,05,22,76.7,14,9999.9,0,1002.0,14,975.4,14,999.9,0,3.1,7,5.8,999.9,80.8,*,74.7,*,0.0,G,999.9,0,0,0,0,0,0
997354,99999,2019,01,22,68.6,11,9999.9,0,1030.4,11,9999.9,0,999.9,0,10.3,11,15.0,999.9,72.0,*,65.3,*,0.0,I,999.9,0,0,0,0,0,0
994430,99999,2019,01,10,62.5,11,9999.9,0,1017.8,11,9999.9,0,999.9,0,13.5,11,22.9,999.9,73.9,*,55.8,*,0.0,I,999.9,0,0,0,0,0,0
998216,99999,2019,03,16,27.6,14,9999.9,0,1021.9,14,9999.9,0,999.9,0,7.8,14,15.9,999.9,33.4,*,24.4,*,0.0,I,999.9,0,0,0,0,0,0
917540,99999,2019,05,10,82.9,12,9999.9,0,1011.4,12,1006.9,9,999.9,0,5.6,12,6.8,22.7,85.3,,80.6,,0.0,I,999.9,0,0,0,0,0,0
994800,99999,2019,08,21,84.0,14,9999.9,0,1014.8,14,9999.9,0,999.9,0,12.7,14,18.1,999.9,86.4,*,82.4,*,0.0,I,999.9,0,0,0,0,0,0
722910,93116,2019,02,15,54.5,18,9999.9,0,1016.6,14,998.6,18,8.9,18,10.2,18,19.0,26.0,62.1,,50.0,,99.99,,999.9,0,1,0,0,0,0
997307,99999,2019,06,17,78.3,12,9999.9,0,1017.5,12,9999.9,0,999.9,0,15.9,12,21.0,999.9,80.6,*,76.1,*,0.0,I,999.9,0,0,0,0,0,0
892620,99999,2019,02,23,10.4,12,9999.9,0,1004.6,11,1000.0,11,999.9,0,4.2,12,5.1,999.9,15.4,*,2.8,*,0.0,I,999.9,0,0,0,0,0,0
041680,99999,2019,01,29,12.7,16,9999.9,0,1002.3,15,9999.9,0,999.9,0,0.0,16,999.9,999.9,17.2,,8.6,,0.0,I,999.9,0,0,0,0,0,0
013470,99999,2019,02,21,32.0,24,9999.9,0,1016.6,11,955.7,11,6.2,13,3.3,23,8.4,12.4,34.3,,28.2,,99.99,,999.9,0,1,0,0,0,0
012380,99999,2019,07,04,36.9,9,9999.9,0,1008.0,9,893.8,9,999.9,0,10.4,9,15.5,999.9,39.9,*,34.9,*,0.06,G,999.9,0,1,0,0,0,0
917350,99999,2019,04,14,79.7,15,9999.9,0,1005.7,15,992.0,15,999.9,0,3.6,7,7.8,999.9,85.6,*,77.0,*,0.57,G,999.9,0,0,0,0,0,0
917540,99999,2019,08,25,79.7,12,9999.9,0,1011.7,12,1007.6,12,999.9,0,4.2,12,6.6,25.3,81.9,,77.2,,0.0,I,999.9,0,0,0,0,0,0
997701,99999,2019,07,25,79.1,12,9999.9,0,1017.0,12,9999.9,0,999.9,0,0.0,12,999.9,999.9,82.6,*,74.3,*,0.0,I,999.9,0,0,0,0,0,0
997701,99999,2019,08,04,85.0,10,9999.9,0,1015.7,10,9999.9,0,999.9,0,0.0,10,999.9,999.9,86.0,*,82.6,*,0.0,I,999.9,0,0,0,0,0,0
994013,99999,2019,04,05,53.6,11,9999.9,0,1006.0,11,9999.9,0,999.9,0,7.3,11,12.0,999.9,56.3,*,50.5,*,0.0,I,999.9,0,0,0,0,0,0
917360,99999,2019,04,26,78.2,14,9999.9,0,1008.0,9,1005.4,9,999.9,0,999.9,0,999.9,999.9,84.0,*,73.4,*,0.0,G,999.9,0,0,0,0,0,0
994750,99999,2019,03,18,36.8,12,9999.9,0,1020.9,12,9999.9,0,999.9,0,15.7,12,21.0,999.9,39.6,*,32.2,*,0.0,I,999.9,0,0,0,0,0,0
898690,99999,2019,03,26,-10.8,9,9999.9,0,996.2,9,987.6,9,999.9,0,11.1,9,14.0,999.9,-0.2,*,-18.9,*,0.0,I,999.9,0,0,0,0,0,0
997694,99999,2019,06,15,64.3,14,9999.9,0,1020.0,14,9999.9,0,999.9,0,2.8,14,5.1,999.9,71.4,*,59.4,*,0.0,I,999.9,0,0,0,0,0,0
997988,99999,2019,02,04,26.4,13,9999.9,0,1008.6,12,9999.9,0,999.9,0,4.5,12,12.0,999.9,30.4,*,24.4,*,0.0,I,999.9,0,0,0,0,0,0
997294,99999,2019,05,22,61.6,14,9999.9,0,1020.5,14,9999.9,0,999.9,0,6.8,14,9.9,999.9,69.1,*,54.9,*,0.0,I,999.9,0,0,0,0,0,0
892620,99999,2019,03,18,9.3,9,9999.9,0,994.8,9,990.2,9,999.9,0,4.1,9,7.0,999.9,14.7,*,3.9,*,0.0,I,999.9,0,0,0,0,0,0
998012,99999,2019,07,28,76.4,24,9999.9,0,1018.2,14,9999.9,0,999.9,0,11.9,14,14.0,999.9,82.2,*,73.6,*,0.0,I,999.9,0,0,0,0,0,0
998012,99999,2019,08,12,75.2,23,9999.9,0,1014.0,12,9999.9,0,999.9,0,4.4,12,8.0,999.9,79.0,*,70.7,*,0.0,I,999.9,0,0,0,0,0,0
